  DATE    T-ini  T-end  %SUN   %CLOU  %GOOD  %MOD   %BAD   OBS
19970101   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970102   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970103   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970104   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970105   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970106   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970107   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970108   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970109   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970110   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970111   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970112   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970113   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970114   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970115   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970116   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970117   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970118   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970119   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970120   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970121   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970122   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970123   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970124   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970125   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970126   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970127   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970128   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970129   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970130   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970131   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970201   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
