    HOUR (UT)     SKY TESTER    SUN TESTER
   12.46888828    0.11500000    0.01900000
   12.46916580    0.13400000    0.03800000
   12.46972179    0.13400000    0.05700000
   12.47027779    0.13400000    0.11500000
   12.47083282    0.15400000    0.19200000
   12.47138882    0.17299999    0.23100001
   12.47194386    0.23100001    0.25000000
   12.47249985    0.26899999    0.28900000
   12.47305489    0.30800000    0.32699999
   12.47361088    0.36600000    0.36600000
   12.47416592    0.42399999    0.36600000
   12.47472191    0.46200001    0.38499999
   12.47527695    0.53899997    0.46200001
   12.47583294    0.57800001    0.50099999
   12.47611046    0.65499997    0.55900002
   12.47666645    0.71300000    0.57800001
   12.47722149    0.77100003    0.61600000
   12.47777748    0.86699998    0.50099999
   12.47833252    1.00199997    1.30999994
   12.47888851    1.11800003    2.15899992
   12.47944355    1.33000004    2.11999989
   12.47999954    4.91499996    2.13899994
   12.48055553    4.91499996    2.15899992
   12.48111057    4.91499996    2.11999989
   12.48166656    4.91499996    2.10100007
   12.48222160    4.91499996    2.08100009
   12.48277760    4.51000023    2.04299998
   12.48333359    2.23600006    2.04299998
   12.48361111    2.19700003    2.06200004
   12.48444462    2.23600006    2.04299998
   12.48555565    2.23600006    2.04299998
   12.48611164    2.19700003    2.04299998
   12.48694515    2.23600006    2.06200004
   12.48805618    2.19700003    2.06200004
   12.48888874    2.19700003    2.06200004
   12.49000072    2.19700003    2.04299998
   12.49111176    2.19700003    2.06200004
   12.49194431    2.19700003    2.06200004
   12.49305534    2.19700003    2.06200004
   12.49416733    2.19700003    2.06200004
   12.49499989    2.19700003    2.04299998
   12.49611092    2.19700003    2.06200004
   12.49694443    2.19700003    2.06200004
   12.49805546    2.19700003    2.06200004
   12.49916649    2.19700003    2.06200004
   12.50000000    2.17799997    2.06200004
   12.50111103    2.17799997    2.06200004
   12.50222206    2.19700003    2.06200004
   12.50305557    2.19700003    2.06200004
   12.50416660    2.19700003    2.06200004
   12.50500011    2.17799997    2.06200004
   12.50611115    2.17799997    2.06200004
   12.50722218    2.17799997    2.06200004
   12.50805569    2.17799997    2.06200004
   12.50916672    2.17799997    2.06200004
   12.51000023    2.17799997    2.06200004
   12.51111126    2.17799997    2.08100009
   12.51222229    2.17799997    2.06200004
   12.51305580    2.15899992    2.06200004
   12.51416683    2.15899992    2.06200004
   12.51500034    2.17799997    2.06200004
   12.51611137    2.15899992    2.06200004
   12.51722240    2.15899992    2.06200004
   12.51805496    2.15899992    2.08100009
   12.51916599    2.15899992    2.06200004
   12.51999950    2.15899992    2.08100009
   12.52111053    2.15899992    2.08100009
   12.52222157    2.15899992    2.06200004
   12.52305508    2.15899992    2.06200004
   12.52416611    2.15899992    2.08100009
   12.52499962    2.15899992    2.08100009
   12.52611065    2.15899992    2.08100009
   12.52722168    2.15899992    2.06200004
   12.52805519    2.15899992    2.08100009
   12.52916622    2.15899992    2.08100009
   12.53027725    2.15899992    2.08100009
   12.53111076    2.13899994    2.08100009
   12.53222179    2.13899994    2.06200004
   12.53333378    2.15899992    2.08100009
   12.53416729    2.13899994    2.08100009
   12.53527832    2.13899994    2.06200004
   12.53638935    2.13899994    2.08100009
   12.53722286    2.13899994    2.08100009
   12.53833389    2.13899994    2.08100009
   12.53916740    2.13899994    2.08100009
   12.54027843    2.13899994    2.08100009
   12.54111195    2.13899994    2.10100007
   12.54222298    2.11999989    2.08100009
   12.54333401    2.13899994    2.08100009
   12.54416752    2.11999989    2.08100009
   12.54527855    2.11999989    2.08100009
   12.54611111    2.11999989    2.10100007
   12.54722309    2.13899994    2.10100007
   12.54833412    2.11999989    2.08100009
   12.54916668    2.11999989    2.08100009
   12.55027771    2.11999989    2.10100007
   12.55111122    2.11999989    2.10100007
   12.55222225    2.11999989    2.10100007
   12.55333328    2.11999989    2.08100009
   12.55416679    2.11999989    2.08100009
   12.55527782    2.10100007    2.10100007
   12.55638885    2.10100007    2.08100009
   12.55722237    2.10100007    2.10100007
   12.55833340    2.10100007    2.10100007
   12.55944443    2.10100007    2.10100007
   12.56027794    2.10100007    2.08100009
   12.56138897    2.10100007    2.10100007
   12.56222248    2.10100007    2.08100009
   12.56333351    2.08100009    2.10100007
   12.56444454    2.10100007    2.10100007
   12.56527805    2.10100007    2.10100007
   12.56638908    2.08100009    2.10100007
   12.56722260    2.10100007    2.10100007
   12.56833363    2.10100007    2.10100007
   12.56944466    2.10100007    2.10100007
   12.57027817    2.08100009    2.10100007
   12.57138920    2.08100009    2.10100007
   12.57222176    2.08100009    2.10100007
   12.57333374    2.08100009    2.10100007
   12.57444477    2.08100009    2.10100007
   12.57527733    2.08100009    2.10100007
   12.57638836    2.08100009    2.10100007
   12.57750034    2.08100009    2.10100007
   12.57833290    2.08100009    2.10100007
   12.57944393    2.08100009    2.10100007
   12.58027744    2.06200004    2.10100007
   12.58138847    2.06200004    2.11999989
   12.58249950    2.06200004    2.11999989
   12.58333302    2.08100009    2.10100007
   12.58444405    2.06200004    2.10100007
   12.58555508    2.06200004    2.10100007
   12.58638859    2.06200004    2.10100007
   12.58749962    2.06200004    2.10100007
   12.58833313    2.04299998    2.11999989
   12.58944416    2.06200004    2.11999989
   12.59055519    2.06200004    2.10100007
   12.59138870    2.04299998    2.11999989
   12.59249973    2.04299998    2.11999989
   12.59333324    2.04299998    2.10100007
   12.59444427    2.04299998    2.11999989
   12.59555531    2.04299998    2.11999989
   12.59638882    2.04299998    2.11999989
   12.59749985    2.04299998    2.11999989
   12.59833336    2.04299998    2.11999989
   12.59944439    2.04299998    2.11999989
   12.60027790    2.04299998    2.10100007
   12.60138893    2.04299998    2.13899994
   12.60249996    2.04299998    2.11999989
   12.60333347    2.04299998    2.11999989
   12.60444450    2.04299998    2.13899994
   12.60555553    2.04299998    2.13899994
   12.60638905    2.04299998    2.11999989
   12.60750008    2.04299998    2.13899994
   12.60833359    2.04299998    2.13899994
   12.60944462    2.04299998    2.11999989
   12.61055565    2.04299998    2.13899994
   12.61138916    2.04299998    2.11999989
   12.61250019    2.02399993    2.11999989
   12.61361122    2.02399993    2.11999989
   12.61444473    2.02399993    2.13899994
   12.61555576    2.02399993    2.11999989
   12.61666679    2.02399993    2.11999989
   12.61750031    2.02399993    2.11999989
   12.61861134    2.02399993    2.13899994
   12.61972237    2.02399993    2.13899994
   12.62055588    2.02399993    2.13899994
   12.62166691    2.02399993    2.13899994
   12.62250042    2.02399993    2.13899994
   12.62361145    2.02399993    2.11999989
   12.62472248    2.04299998    2.11999989
   12.62555599    2.02399993    2.11999989
   12.62666702    2.02399993    2.13899994
   12.62750053    2.02399993    2.13899994
